from,to,relationship,weight
dpbr,funk,4,2
sash,funk,6,
gifh,funk,6,
tj,renzo,6,
shlo,clwn,6,
shlo,idio,6,
shlo,hngw,6,
shlo,sttm,6,
shlo,bvms,6,
shlo,krtz,6,
clwn,shlo,6,
clwn,sttm,6,
clwn,bvms,6,
clwn,krtz,6,
krtz,bvms,6,
krtz,shlo,6,
krtz,clwn,6,
krtz,hngw,6,
idio,hngw,6,
idio,shlo,6,
idio,sttm,6,
idio,bvms,6,
hngw,shlo,6,
hngw,idio,6,
hngw,sttm,6,
hngw,bvms,6,
sttm,shlo,6,
sttm,hngw,6,
sttm,clwn,6,
sttm,idio,6,
bvms,krtz,6,
bvms,shlo,6,
bvms,idio,6,
bvms,hngw,6,
bvms,clwn,6,
funk,strg,1,
funk,yk,5,
funk,ofue,1,
funk,rp,1,
funk,lww,5,
funk,dfr,1,
funk,trd,1,
funk,cri,1,
funk,fmr,1,
funk,mrw,1,
funk,ddo,1,
funk,hyp,1,
funk,atl,1,
funk,sts,1,
funk,chm,1,
funk,psy,1,
funk,wkw,1,
funk,dbi,1,
funk,dsdn,5,
funk,phil,1,
funk,wmms,1,
funk,cldm,1,
funk,wwwz,1,
funk,pshd,1,
funk,eyjm,1,
funk,hecr,1,
funk,dttl,1,
funk,eifu,1,
funk,dund,1,
funk,cisb,1,
funk,aklo,1,
funk,hhhe,1,
funk,ismp,1,
funk,juns,1,
funk,zwfr,5,
funk,ulvi,5,
funk,smta,5,
funk,simp,5,
funk,rayk,5,
funk,mail,5,
funk,klie,5,
funk,game,5,
funk,kurz,5,
funk,brba,5,
strg,renzo,4,1
strg,funk,1,
yk,funk,5,
ofue,funk,5,
rp,funk,5,
lww,funk,5,
lww,rike,4,1
lww,schl,4,1
alke,lww,4,3
alke,schl,3,1
alke,rike,3,1
alke,strg,4,3
alke,renzo,3,3
alke,dpbr,3,1
alke,funk,4,1
gnu,klng,2,1
gifh,nero,2,2
gifh,lww,4,1
gifh,sash,2,1
sash,lww,4,2
sash,nero,3,1
sash,dicr,3,1
sash,schl,3,1
sash,strg,4,1
sash,renzo,3,1
sash,haz,3,1
renzo,strg,4,2
renzo,prinz,3,1
renzo,klng,3,1
prinz,renzo,2,2
prinz,strg,4,1
drfr,renzo,2,2
dpbr,strg,4,1
dpbr,lww,4,1
pony,strg,4,2
pony,renzo,3,1
pony,funk,4,1
pony,rp,4,1
pony,aklo,4,1
pony,mrw,4,1
pony,kurz,4,1
pony,yk,4,1
pony,dttl,4,1
kutv,yk,4,1
kutv,lww,4,3
kutv,strg,4,1
kutv,renzo,3,1
nero,alke,3,3
nero,lww,4,3
nero,strg,4,2
nero,bid,3,1
nero,prinz,3,3
nero,sash,3,3
nero,schl,3,3
nero,stai,3,3
nero,renzo,3,1
imp,lww,4,1
imp,nero,3,1
klng,lww,4,1
klng,schl,3,1
klng,dicr,3,1
klng,rike,3,1
tj,nero,2,3
tj,alke,2,1
tj,renzo,2,2
tj,strg,4,1
schl,alke,2,2
schl,sash,2,1
rike,kutv,2,2
dicr,sash,2,1
doc,kutv,2,1
dfr,funk,1,
trd,funk,1,
unbu,funk,1,
cri,funk,1,
fmr,funk,1,
mrw,funk,1,
ddo,funk,1,
hyp,funk,1,
atl,funk,1,
sts,funk,1,
chm,funk,1,
psy,funk,1,
wkw,funk,1,
dbi,funk,1,
dsdn,funk,5,1
phil,funk,1,
wmms,funk,1,
wwwz,funk,1,
cldm,funk,1,
pshd,funk,1,
eyjm,funk,1,
hecr,funk,1,
dttl,funk,1,
eifu,funk,1,
dund,funk,1,
cisb,funk,1,
aklo,funk,1,
hhhe,funk,1,
ismp,funk,1,
brba,funk,5,
kurz,funk,5,
game,funk,5,
juns,funk,1,
klie,funk,5,
mail,funk,5,
rayk,funk,5,
simp,funk,5,
smta,funk,5,
ulvi,funk,5,
zwfr,funk,5,
aqua,yk,4,1
yk,aqua,6,
aqua,imp,3,1
yk,aqua,6,
haz,nero,2,1
haz,kyz,2,1
haz,funk,6,
funk,haz,6,
haz,sash,3,1
bid,strg,4,1
stai,funk,4,1
stai,strg,4,2
stai,renzo,2,2
stai,sash,2,1
stai,lww,4,1
stai,nero,2,3
stai,alke,2,1
kyz,lww,4,1
clwn,yk,4,1
hngw,yk,4,1
funk,sash,6,
funk,gifh,6,
renzo,tj,6,
kutv,dicr,6,